,Feature,Gini,Importance (split),Importance (weight)
0,ENSG00000205795,0.016012250401502816,28.0,
1,ENSG00000162998,0.013482135940252072,12.0,
2,ENSG00000075413,0.011331471459756713,7.0,
3,ENSG00000139289,0.010379376273638613,4.0,
4,ENSG00000123243,0.007015607581693662,3.0,
5,ENSG00000213694,0.0069050597412613525,9.0,
6,ENSG00000186160,0.006320599036714912,3.0,
7,ENSG00000143768,0.005512450823797096,4.0,
8,ENSG00000164694,0.005326002242124529,186.0,
9,ENSG00000073008,0.004869549252589705,13.0,
10,ENSG00000205221,0.004692414565822345,14.0,
11,ENSG00000188257,0.004186136875040683,5.0,
12,ENSG00000145623,0.0038226183881620423,4.0,
13,ENSG00000186529,0.003644791185774977,4.0,
14,ENSG00000112562,0.003443795860623903,11.0,
15,ENSG00000108219,0.0033652132601517714,4.0,
16,ENSG00000115602,0.0030754559272475473,18.0,
17,ENSG00000156475,0.002810174300411174,9.0,
18,ENSG00000118495,0.002005715836398787,4.0,
19,ENSG00000254636,0.0019819498356706913,14.0,
20,ENSG00000125869,0.001778430376133922,4.0,
21,ENSG00000229246,0.001772792255579686,7.0,
22,ENSG00000165609,0.0016375989100039167,3.0,
23,ENSG00000141497,0.0016008566152351097,4.0,
24,ENSG00000100095,0.0015644798982049428,21.0,
25,ENSG00000182667,0.0015336385496931954,2.0,
26,ENSG00000134539,0.0015093670016004673,46.0,
27,ENSG00000106483,0.0014405149611663585,5.0,
28,ENSG00000113657,0.0011967444433938401,5.0,
29,ENSG00000120910,0.001080167971840314,21.0,
30,ENSG00000180773,0.0010223810972719023,2.0,
31,ENSG00000182197,0.0010117757910315594,2.0,
32,ENSG00000139329,0.0010062545592322164,10.0,
33,ENSG00000065675,0.0009488243629538798,3.0,
34,ENSG00000143110,0.0009290979043115665,11.0,
35,ENSG00000156453,0.0009254294700094698,2.0,
36,ENSG00000164946,0.0009037441492499386,15.0,
37,ENSG00000145681,0.000892145972134249,2.0,
38,ENSG00000174640,0.0008471736570281105,8.0,
39,ENSG00000147872,0.0007679775424536966,5.0,
40,ENSG00000114279,0.0007271510413078037,6.0,
41,ENSG00000111684,0.0007069485965571195,9.0,
42,ENSG00000102226,0.00069288245222112,11.0,
43,ENSG00000250208,0.0006841927008922967,3.0,
44,ENSG00000132170,0.0006829417639446411,12.0,
45,ENSG00000197852,0.0006691850480903951,10.0,
46,ENSG00000113916,0.0006146652104604146,9.0,
47,ENSG00000184867,0.000599521269149259,9.0,
48,ENSG00000174514,0.0005793650514705505,4.0,
49,ENSG00000154027,0.0005788485105346781,2.0,
50,ENSG00000203685,0.0005527422969320301,6.0,
51,ENSG00000247121,0.0005514723784269223,13.0,
52,ENSG00000078401,0.0005352943063352051,2.0,
53,ENSG00000176915,0.000514358170743653,4.0,
54,ENSG00000136436,0.0005115446882030014,11.0,
55,ENSG00000261451,0.0005104247414175095,2.0,
56,ENSG00000111666,0.0005102739567655365,5.0,
57,ENSG00000090975,0.0004981538187734356,2.0,
58,ENSG00000064692,0.0004884829311208341,6.0,
59,ENSG00000198033,0.000440364727793515,3.0,
60,ENSG00000168610,0.0004397624383912469,14.0,
61,ENSG00000196542,0.00043638131878347516,3.0,
62,ENSG00000165533,0.0004320411675571873,2.0,
63,ENSG00000148468,0.0004218930044693211,4.0,
64,ENSG00000139178,0.00041214309528572355,7.0,
65,ENSG00000165495,0.0004084106532939917,2.0,
66,ENSG00000173085,0.00039965220628114783,6.0,
67,ENSG00000236819,0.00039879334096092013,5.0,
68,ENSG00000205795,0.016012250401502816,,0.022983858
69,ENSG00000162998,0.013482135940252072,,0.00938245
70,ENSG00000169436,0.010615456776605851,,0.00095877907
71,ENSG00000139289,0.010379376273638613,,0.00016268485
72,ENSG00000123243,0.007015607581693662,,0.0036914847
73,ENSG00000213694,0.0069050597412613525,,0.0005639052
74,ENSG00000186160,0.006320599036714912,,0.009178712
75,ENSG00000163145,0.005631015950346316,,0.016714023
76,ENSG00000164694,0.005326002242124529,,0.062340893
77,ENSG00000205221,0.004692414565822345,,0.0007130586
